Province/State;Country/Region;Last Update;Confirmed;Deaths;Recovered
Hubei;China;2020-03-15T18:20:18;67794;3085;54288
;Italy;2020-03-14T20:13:16;24747;1809;2335
;Iran;2020-03-15T18:20:18;13938;724;4590
;Korea, South;2020-03-15T18:20:18;8162;75;510
;Spain;2020-03-15T18:20:18;7798;289;517
;Germany;2020-03-15T18:20:18;5795;11;46
France;France;2020-03-15T18:20:18;4499;91;12
;Switzerland;2020-03-15T18:20:18;2200;14;4
Guangdong;China;2020-03-15T18:20:18;1360;8;1304
Henan;China;2020-03-14T09:53:08;1273;22;1250
Zhejiang;China;2020-03-15T01:33:02;1231;1;1211
;Norway;2020-03-15T18:20:18;1221;3;1
United Kingdom;United Kingdom;2020-03-14T14:53:04;1140;21;18
;Netherlands;2020-03-15T18:20:18;1135;20;2
;Sweden;2020-03-15T18:20:18;1022;3;1
Hunan;China;2020-03-14T08:33:03;1018;4;1014
Anhui;China;2020-03-11T02:18:14;990;6;984
Jiangxi;China;2020-03-12T02:13:04;935;1;934
;Belgium;2020-03-15T18:20:18;886;4;1
Denmark;Denmark;2020-03-15T18:20:19;864;2;1
;Austria;2020-03-15T18:20:18;860;1;6
;Japan;2020-03-14T22:33:03;839;22;118
Shandong;China;2020-03-14T04:33:02;760;7;741
New York;US;2020-03-15T18:20:19;732;3;0
Diamond Princess;Cruise Ship;2020-03-13T14:13:25;696;7;325
Washington;US;2020-03-15T02:13:21;643;40;1
Jiangsu;China;2020-03-15T01:53:02;631;0;631
Chongqing;China;2020-03-15T03:53:04;576;6;570
Sichuan;China;2020-03-15T18:20:18;539;3;516
Heilongjiang;China;2020-03-15T00:33:02;482;13;453
Beijing;China;2020-03-15T01:13:10;442;8;353
;Malaysia;2020-03-15T18:20:18;428;0;42
California;US;2020-03-15T18:33:03;426;6;6
Shanghai;China;2020-03-14T23:53:02;353;3;324
;Qatar;2020-03-14T22:33:03;401;0;4
Hebei;China;2020-03-13T11:09:03;318;6;310
Fujian;China;2020-03-11T02:18:14;296;1;295
Guangxi;China;2020-03-13T11:09:03;252;2;243
Shaanxi;China;2020-03-12T01:33:02;245;2;232
;Portugal;2020-03-15T18:20:18;245;0;2
;Finland;2020-03-15T18:20:18;244;0;10
;Czechia;2020-03-15T18:20:18;253;0;0
;Greece;2020-03-15T18:20:18;331;4;8
;Singapore;2020-03-15T18:20:18;226;0;105
;Slovenia;2020-03-15T18:20:18;219;1;0
;Bahrain;2020-03-14T11:53:29;214;0;60
;Israel;2020-03-15T18:20:18;251;0;4
Yunnan;China;2020-03-14T23:33:02;174;2;172
Hainan;China;2020-03-12T03:53:02;168;6;160
;Brazil;2020-03-15T18:20:18;162;0;0
;Iceland;2020-03-15T18:20:18;171;5;8
Guizhou;China;2020-03-14T00:53:03;146;2;143
Hong Kong;China;2020-03-15T18:20:18;145;4;81
;Philippines;2020-03-15T18:20:18;140;11;2
Massachusetts;US;2020-03-14T22:13:19;164;0;1
Tianjin;China;2020-03-15T18:20:18;136;3;133
;Estonia;2020-03-15T18:20:18;171;0;1
New South Wales;Australia;2020-03-15T18:20:19;134;2;4
Gansu;China;2020-03-15T18:20:18;133;2;91
Shanxi;China;2020-03-13T11:09:03;133;0;133
;Romania;2020-03-15T18:20:18;131;0;9
;Ireland;2020-03-14T20:13:16;129;2;0
Liaoning;China;2020-03-15T04:13:27;125;1;114
;Poland;2020-03-15T18:20:18;119;3;0
;Indonesia;2020-03-15T18:20:18;117;5;8
Florida;US;2020-03-15T18:20:19;115;4;0
;Thailand;2020-03-15T18:20:18;114;1;35
;India;2020-03-15T18:20:18;113;2;13
;Kuwait;2020-03-15T18:20:18;112;0;5
;Egypt;2020-03-15T18:20:18;110;2;21
;Iraq;2020-03-14T22:33:03;116;10;26
;Lebanon;2020-03-15T18:20:18;110;3;1
Ontario;Canada;2020-03-15T01:53:03;104;0;4
;Saudi Arabia;2020-03-14T20:33:03;103;0;1
